First Name,Last Name,Party,Constituency,Gender,Sitting TD,Valid Poll,Quota,Elected on count,Final vote,1st pref,% 1st pref,Count 2,% transfers 2,Count 3,% transfers 3,Count 4,% transfers 4,Count 5,% transfers 5,Count 6,% transfers 6,Count 7,% transfers 7,Count 8,% transfers 8,Count 9,% transfers 9,Count 10,% transfers 10,Count 11,% transfers 11,Count 12,% transfers 12,Count 13,% transfers 13,Count 14,% transfers 14,Count 15,% transfers 15
Bobby,AYLWARD,Fianna Fáil,Carlow-Kilkenny,Male,Yes,"73,643","12,274",,"9,985","7,550",10.30,241,4.60,129,6.00,204,7.50,284,7.70,234,5.60,177,3.70,355,5.00,458,51.00,353,62.50,,,,,,,,,,
Helena,BYRNE,Renua,Carlow-Kilkenny,Female,No,"73,643","12,274",,,992,1.30,172,3.30,"-1,164",0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Pat,DEERING,Fine Gael,Carlow-Kilkenny,Male,Yes,"73,643","12,274",,,"5,929",8.10,108,2.10,100,4.60,186,6.90,97,2.60,575,13.70,148,3.10,"-7,143",0.00,,0.00,,0.00,,,,,,,,,,
Kathleen,FUNCHION,Sinn Féin,Carlow-Kilkenny,Female,Yes,"73,643","12,274",1,"17,493","17,493",23.80,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Alan,HAYES,Independent,Carlow-Kilkenny,Male,No,"73,643","12,274",,,"2,347",3.20,604,11.60,432,20.00,327,12.10,"-3,710",0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Denis,HYNES,Labour Party,Carlow-Kilkenny,Male,No,"73,643","12,274",,,"2,208",3.00,402,7.70,102,4.70,"-2,712",0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
John,McGUINNESS,Fianna Fáil,Carlow-Kilkenny,Male,Yes,"73,643","12,274",6,"12,612","10,558",14.30,463,8.90,277,12.80,324,11.90,579,15.60,411,9.80,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Jennifer,MURNANE O'CONNOR,Fianna Fáil,Carlow-Kilkenny,Female,No,"73,643","12,274",8,"12,839","9,351",12.70,372,7.10,172,8.00,198,7.30,160,4.30,80,1.90,428,8.90,"2,078",29.10,,0.00,,0.00,,,,,,,,,,
Malcolm,NOONAN,Green Party,Carlow-Kilkenny,Male,No,"73,643","12,274",10,"10,543","4,942",6.70,562,10.80,143,6.60,560,20.60,871,23.50,235,5.60,"2,095",43.40,483,6.80,440,49.00,212,37.50,,,,,,,,,,
Melissa,O'NEILL,Irish Freedom Party,Carlow-Kilkenny,Female,No,"73,643","12,274",,,431,0.60,235,4.50,-666,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Patrick,O'NEILL,Fine Gael,Carlow-Kilkenny,Male,No,"73,643","12,274",,,"3,674",5.00,49,0.90,53,2.50,167,6.20,243,6.50,"-4,186",0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
John Paul,PHELAN,Fine Gael,Carlow-Kilkenny,Male,Yes,"73,643","12,274",8,"13,172","6,396",8.70,102,2.00,49,2.30,205,7.60,223,6.00,"2,454",58.60,119,2.50,"3,624",50.70,,0.00,,0.00,,,,,,,,,,
Angela,RAY,Independent,Carlow-Kilkenny,Female,No,"73,643","12,274",,,214,0.30,117,2.20,-331,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Adrienne,WALLACE,Solidarity-People Before Profit,Carlow-Kilkenny,Female,No,"73,643","12,274",,,"1,558",2.10,"1,792",34.30,419,19.40,290,10.70,717,19.30,47,1.10,"-4,823",0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Matt,CARTHY,Sinn Féin,Cavan-Monaghan,Male,No,"72,183","12,031",1,"16,310","16,310",22.60,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,
Tate,DONNELLY,Green Party,Cavan-Monaghan,Male,No,"72,183","12,031",,,"2,501",3.50,209,4.90,315,22.10,36,15.30,43,5.50,349,30.40,622,42.70,112,6.50,"-4,187",0.00,,0.00,,0.00,,,,,,,,
Joseph,DUFFY,Independent,Cavan-Monaghan,Male,No,"72,183","12,031",,,159,0.20,12,0.30,64,4.50,-235,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,
Robbie,GALLAGHER,Fianna Fáil,Cavan-Monaghan,Male,No,"72,183","12,031",,,"5,062",7.00,244,5.70,161,11.30,9,3.80,127,16.30,47,4.10,42,2.90,48,2.80,513,12.30,629,10.90,"-6,882",0.00,,,,,,,,
Heather,HUMPHREYS,Fine Gael,Cavan-Monaghan,Female,Yes,"72,183","12,031",1,"12,808","12,808",17.70,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,
Sandra,McINTYRE,Fine Gael,Cavan-Monaghan,Female,No,"72,183","12,031",,,"1,301",1.80,32,0.70,24,1.70,8,3.40,256,32.90,77,6.70,21,1.40,"-1,719",0.00,,0.00,,0.00,,0.00,,,,,,,,
Sarah,O'REILLY,Aontú,Cavan-Monaghan,Female,No,"72,183","12,031",,,"3,840",5.30,123,2.90,241,16.90,81,34.50,29,3.70,102,8.90,317,21.70,88,5.10,924,22.10,"-5,745",0.00,,0.00,,,,,,,,
T.P.,O'REILLY,Fine Gael,Cavan-Monaghan,Male,No,"72,183","12,031",,"8,646","5,124",7.10,30,0.70,21,1.50,4,1.70,211,27.20,79,6.90,30,2.10,"1,093",63.60,605,14.40,853,14.80,596,8.70,,,,,,,,
Brendan,SMITH,Fianna Fáil,Cavan-Monaghan,Male,Yes,"72,183","12,031",11,"11,004","7,354",10.20,80,1.90,42,2.90,6,2.60,37,4.80,103,9.00,45,3.10,173,10.10,272,6.50,834,14.50,"2,058",29.90,,,,,,,,
Emmett,SMITH,Solidarity-People Before Profit,Cavan-Monaghan,Male,No,"72,183","12,031",,,830,1.10,80,1.90,351,24.60,18,7.70,5,0.60,174,15.10,"-1,458",0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,
Niamh,SMYTH,Fianna Fáil,Cavan-Monaghan,Female,Yes,"72,183","12,031",11,"10,951","5,745",8.00,144,3.40,96,6.70,11,4.70,57,7.30,99,8.60,73,5.00,97,5.60,484,11.60,"1,370",23.80,"2,775",40.30,,,,,,,,
Pauline,TULLY,Sinn Féin,Cavan-Monaghan,Female,No,"72,183","12,031",2,"13,457","10,166",14.10,"3,291",76.90,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,
Liam,VAN DER SPEK,Labour Party,Cavan-Monaghan,Male,No,"72,183","12,031",,,983,1.40,34,0.80,111,7.80,9,3.80,12,1.50,"-1,149",0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,
David,BARRETT,Independent,Clare,Male,No,"59,495","11,900",,,400,0.70,4,2.10,-404,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Pat,BREEN,Fine Gael,Clare,Male,Yes,"59,495","11,900",,,"5,406",9.10,3,1.60,45,7.20,24,3.00,16,1.20,84,5.60,409,16.90,414,9.00,"-6,401",0.00,,0.00,,,,,,,,,,
Joe,CAREY,Fine Gael,Clare,Male,Yes,"59,495","11,900",10,"11,345","5,684",9.60,4,2.10,33,5.30,24,3.00,26,2.00,43,2.90,671,27.70,184,4.00,"3,524",55.10,"1,152",15.70,,,,,,,,,,
Martin,CONWAY,Fine Gael,Clare,Male,No,"59,495","11,900",,,"2,285",3.80,2,1.10,23,3.70,12,1.50,18,1.40,84,5.60,"-2,424",0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Cathal,CROWE,Fianna Fáil,Clare,Male,No,"59,495","11,900",10,"11,471","8,355",14.00,17,9.10,30,4.80,106,13.10,33,2.60,100,6.60,193,8.00,"1,281",27.80,544,8.50,812,11.10,,,,,,,,,,
Timmy,DOOLEY,Fianna Fáil,Clare,Male,Yes,"59,495","11,900",,"10,630","7,763",13.00,4,2.10,16,2.60,22,2.70,21,1.60,80,5.30,181,7.50,"1,163",25.20,693,10.80,687,9.40,,,,,,,,,,
Róisín,GARVEY,Green Party,Clare,Female,No,"59,495","11,900",,,"5,624",9.50,16,8.60,95,15.20,43,5.30,435,33.80,124,8.20,289,11.90,333,7.20,380,5.90,"-7,339",0.00,,,,,,,,,,
Michael,LEAHY,Irish Freedom Party,Clare,Male,No,"59,495","11,900",,,704,1.20,60,32.10,43,6.90,-807,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Trudy Ann,LEYDEN,Independent,Clare,Female,No,"59,495","11,900",,,218,0.40,4,2.10,-222,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Rita,McINERNEY,Fianna Fáil,Clare,Female,No,"59,495","11,900",,,"4,136",7.00,10,5.30,33,5.30,54,6.70,17,1.30,190,12.60,166,6.80,"-4,606",0.00,,0.00,,0.00,,,,,,,,,,
Michael,McNAMARA,Independent,Clare,Male,No,"59,495","11,900",10,"12,205","7,332",12.30,18,9.60,115,18.40,123,15.20,114,8.90,467,31.10,366,15.10,845,18.30,733,11.50,"2,092",28.50,,,,,,,,,,
Conor,O'BRIEN,Renua,Clare,Male,No,"59,495","11,900",,,187,0.30,-187,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Theresa,O'DONOHOE,Solidarity-People Before Profit,Clare,Female,No,"59,495","11,900",,,"1,196",2.00,11,5.90,47,7.50,32,4.00,"-1,286",0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Joseph,WOULFE,Independent,Clare,Male,No,"59,495","11,900",,,"1,218",2.00,8,4.30,59,9.40,117,14.50,102,7.90,"-1,504",0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Violet-Anne,WYNNE,Sinn Féin,Clare,Female,No,"59,495","11,900",10,"11,903","8,987",15.10,11,5.90,65,10.40,79,9.80,457,35.50,208,13.80,82,3.40,193,4.20,209,3.30,"1,612",22.00,,,,,,,,,,
Pat,BUCKLEY,Sinn Féin,Cork East,Male,Yes,"54,544","10,909",1,"12,587","12,587",23.10,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,
Conor,HANNON,Aontú,Cork East,Male,No,"54,544","10,909",,,"1,337",2.50,163,9.70,22,5.40,176,14.30,"-1,698",0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,
Thomas,KIELY,Independent,Cork East,Male,No,"54,544","10,909",,,435,0.80,144,8.60,50,12.20,-629,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,
Mary,LINEHAN-FOLEY,Independent,Cork East,Female,No,"54,544","10,909",,,"3,903",7.20,385,22.90,75,18.30,322,26.20,378,22.30,821,18.50,102,2.10,"-5,986",0.00,,,,,,,,,,,,,,
James,O'CONNOR,Fianna Fáil,Cork East,Male,No,"54,544","10,909",8,"9,731","7,026",12.90,106,6.30,11,2.70,45,3.70,177,10.40,404,9.10,324,6.50,"1,638",27.40,,,,,,,,,,,,,,
Pa,O'DRISCOLL,Fine Gael,Cork East,Male,No,"54,544","10,909",,,"4,554",8.30,37,2.20,13,3.20,50,4.10,82,4.80,238,5.40,"-4,974",0.00,,0.00,,,,,,,,,,,,,,
Shane,O'GRADY,Independent,Cork East,Male,No,"54,544","10,909",,,267,0.50,67,4.00,-334,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,
Kevin,O'KEEFFE,Fianna Fáil,Cork East,Male,Yes,"54,544","10,909",,"9,078","7,414",13.60,88,5.20,35,8.50,74,6.00,305,18.00,149,3.40,721,14.50,292,4.90,,,,,,,,,,,,,,
Sean,O'LEARY,Independent,Cork East,Male,No,"54,544","10,909",,,64,0.10,12,0.70,-76,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,
Liam,QUAIDE,Green Party,Cork East,Male,No,"54,544","10,909",,,"3,749",6.90,275,16.40,51,12.40,153,12.50,214,12.60,"-4,442",0.00,,0.00,,0.00,,,,,,,,,,,,,,
Seán,SHERLOCK,Labour Party,Cork East,Male,Yes,"54,544","10,909",8,"11,237","6,610",12.10,232,13.80,84,20.50,203,16.50,160,9.40,"1,644",37.00,961,19.30,"1,343",22.40,,,,,,,,,,,,,,
Frank,SHINNICK,Irish Freedom Party,Cork East,Male,No,"54,544","10,909",,,455,0.80,105,6.30,38,9.30,-598,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,
David,STANTON,Fine Gael,Cork East,Male,Yes,"54,544","10,909",8,"10,309","6,143",11.30,64,3.80,7,1.70,31,2.50,73,4.30,639,14.40,"2,619",52.70,733,12.20,,,,,,,,,,,,,,
Mick,BARRY,Solidarity-People Before Profit,Cork North-Central,Male,Yes,"51,778","10,356",14,"9,396","3,703",7.20,"1,459",42.20,23,9.80,44,15.30,228,29.20,119,13.70,18,1.50,34,2.60,353,23.50,218,13.20,616,17.50,390,9.20,220,12.60,"1,971",34.30,,
Colm,BURKE,Fine Gael,Cork North-Central,Male,No,"51,778","10,356",14,"10,649","6,646",12.80,71,2.10,14,6.00,7,2.40,10,1.30,27,3.10,711,58.20,131,9.90,70,4.70,96,5.80,418,11.90,469,11.00,447,25.60,"1,532",26.70,,
James,COUGHLAN,Workers' Party,Cork North-Central,Male,No,"51,778","10,356",,,180,0.30,121,3.50,10,4.30,16,5.60,-327,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,
Tony,FITZGERALD,Fianna Fáil,Cork North-Central,Male,No,"51,778","10,356",,,"3,338",6.40,174,5.00,14,6.00,5,1.70,45,5.80,12,1.40,22,1.80,317,23.90,34,2.30,101,6.10,194,5.50,"-4,256",0.00,,0.00,,0.00,,
Thomas,GOULD,Sinn Féin,Cork North-Central,Male,No,"51,778","10,356",1,"13,811","13,811",26.70,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,
Sinéad,HALPIN,Social Democrats,Cork North-Central,Female,No,"51,778","10,356",,,"1,121",2.20,174,5.00,14,6.00,16,5.60,71,9.10,48,5.50,21,1.70,38,2.90,"-1,503",0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,
Timothy Joseph,HOGAN,Independent,Cork North-Central,Male,No,"51,778","10,356",,,257,0.50,150,4.30,20,8.50,27,9.40,-454,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,
Ger,KEOHANE,Independent,Cork North-Central,Male,No,"51,778","10,356",,,694,1.30,65,1.90,7,3.00,17,5.90,83,10.60,-866,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,
John,MAHER,Labour Party,Cork North-Central,Male,No,"51,778","10,356",,,"2,561",4.90,294,8.50,9,3.80,5,1.70,70,9.00,117,13.50,72,5.90,55,4.10,245,16.30,85,5.20,"-3,513",0.00,,0.00,,0.00,,0.00,,
Oliver,MORAN,Green Party,Cork North-Central,Male,No,"51,778","10,356",,,"3,205",6.20,176,5.10,22,9.40,7,2.40,42,5.40,77,8.90,88,7.20,71,5.30,493,32.80,123,7.50,902,25.70,210,4.90,322,18.50,"-5,738",0.00,,
Sandra,MURPHY,Fianna Fáil,Cork North-Central,Female,No,"51,778","10,356",,,"1,218",2.40,38,1.10,8,3.40,3,1.00,11,1.40,5,0.60,46,3.80,"-1,329",0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,
Diarmaid,Ó CADHLA,Independent,Cork North-Central,Male,No,"51,778","10,356",,,230,0.40,40,1.20,18,7.70,-288,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,
Stephen,O'DONOVAN,Independent,Cork North-Central,Male,No,"51,778","10,356",,,44,0.10,39,1.10,-83,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,
Kenneth,O'FLYNN,Independent,Cork North-Central,Male,No,"51,778","10,356",,"7,280","3,994",7.70,428,12.40,16,6.80,40,13.90,68,8.70,126,14.50,28,2.30,54,4.10,76,5.10,571,34.70,527,15.00,466,10.90,377,21.60,509,8.90,,
